Date,Symbol,Open,Close
2019-01-02,ADANIPORTS,388.0,381.3
2019-01-03,ADANIPORTS,382.4,378.1
2019-01-04,ADANIPORTS,378.65,382.15
2019-01-07,ADANIPORTS,385.0,381.65
2019-01-08,ADANIPORTS,383.0,378.75
2019-01-09,ADANIPORTS,382.0,377.3
2019-01-10,ADANIPORTS,377.95,380.25
2019-01-11,ADANIPORTS,380.3,377.15
2019-01-14,ADANIPORTS,377.0,374.45
2019-01-15,ADANIPORTS,375.0,385.15
2019-01-16,ADANIPORTS,385.3,389.3
2019-01-17,ADANIPORTS,391.2,394.5
2019-01-18,ADANIPORTS,396.5,399.3
2019-01-21,ADANIPORTS,397.5,396.2
2019-01-22,ADANIPORTS,393.4,390.6
2019-01-23,ADANIPORTS,390.0,385.2
2019-01-24,ADANIPORTS,386.0,380.95
2019-01-25,ADANIPORTS,382.5,373.85
2019-01-28,ADANIPORTS,374.95,326.1
2019-01-29,ADANIPORTS,330.0,349.25
2019-01-30,ADANIPORTS,349.05,338.15
2019-01-31,ADANIPORTS,339.9,338.65
2019-02-01,ADANIPORTS,339.9,338.45
2019-02-04,ADANIPORTS,337.25,335.65
2019-02-05,ADANIPORTS,333.1,339.8
2019-02-06,ADANIPORTS,338.8,330.35
2019-02-07,ADANIPORTS,330.55,332.35
2019-02-08,ADANIPORTS,333.0,331.5
2019-02-11,ADANIPORTS,332.95,328.8
2019-02-12,ADANIPORTS,328.8,326.8
2019-02-13,ADANIPORTS,328.15,341.65
2019-02-14,ADANIPORTS,342.0,349.1
2019-02-15,ADANIPORTS,347.55,350.15
2019-02-18,ADANIPORTS,348.0,347.3
2019-02-19,ADANIPORTS,347.5,339.55
2019-02-20,ADANIPORTS,342.0,354.75
2019-02-21,ADANIPORTS,352.1,355.75
2019-02-22,ADANIPORTS,353.55,354.3
2019-02-25,ADANIPORTS,329.0,324.55
2019-02-26,ADANIPORTS,324.0,323.5
2019-02-27,ADANIPORTS,326.55,325.25
2019-02-28,ADANIPORTS,328.7,325.85
2019-03-01,ADANIPORTS,328.8,333.2
2019-03-05,ADANIPORTS,333.25,339.25
2019-03-06,ADANIPORTS,342.5,337.05
2019-03-07,ADANIPORTS,338.0,340.9
2019-03-08,ADANIPORTS,340.9,342.15
2019-03-11,ADANIPORTS,343.2,351.3
2019-03-12,ADANIPORTS,352.55,361.05
2019-03-13,ADANIPORTS,361.45,367.15
2019-03-14,ADANIPORTS,367.0,366.0
2019-03-15,ADANIPORTS,366.25,367.1
2019-03-18,ADANIPORTS,365.05,369.0
2019-03-19,ADANIPORTS,370.0,365.75
2019-03-20,ADANIPORTS,367.0,360.6
2019-03-22,ADANIPORTS,359.6,360.75
2019-03-25,ADANIPORTS,358.9,361.35
2019-03-26,ADANIPORTS,361.35,368.6
2019-03-27,ADANIPORTS,367.2,366.3
2019-03-28,ADANIPORTS,368.85,381.3
2019-03-29,ADANIPORTS,383.3,378.15
2019-04-01,ADANIPORTS,380.95,383.05
2019-04-02,ADANIPORTS,383.0,379.7
2019-04-03,ADANIPORTS,380.3,382.0
2019-04-04,ADANIPORTS,382.0,380.2
2019-04-05,ADANIPORTS,379.0,387.15
2019-04-08,ADANIPORTS,388.3,379.9
2019-04-09,ADANIPORTS,379.75,380.7
2019-04-10,ADANIPORTS,378.4,383.45
2019-04-11,ADANIPORTS,382.5,379.45
2019-04-12,ADANIPORTS,379.2,385.65
2019-04-15,ADANIPORTS,385.0,387.05
2019-04-16,ADANIPORTS,387.05,395.65
2019-04-18,ADANIPORTS,395.0,390.55
2019-04-22,ADANIPORTS,388.4,391.05
2019-04-23,ADANIPORTS,389.55,390.9
2019-04-24,ADANIPORTS,387.7,391.75
